-----|NEW SCRAPPING APP|-------------
Started at: Tue Dec 15 21:58:23 CET 2020
Initial data load file: ..//mm-IMDb-database//imbd-data//MovieGenreIGC_v3.xlsx
-------------------------------------
-----|EXCEL SCRAPPING STATISTICS|----
Scrapping rows from 0 to 9000 [total rows = 39966]
Successful Excel scraps: 8971/9000
-------------------------------------
-----|STARTING WEB SCRAPPING|-----
--------|Mode: full scrap|--------
Scrapped film: 22647 (6 seconds)
Scrapped film: 35428 (6 seconds)
Scrapped film: 30464 (6 seconds)
Scrapped film: 49414 (8 seconds)
Scrapped film: 68200 (7 seconds)
Scrapped film: 61023 (6 seconds)
Scrapped film: 72500 (6 seconds)
Scrapped film: 41771 (5 seconds)
Scrapped film: 30469 (6 seconds)
Scrapped film: 22660 (8 seconds)
Scrapped film: 68203 (6 seconds)
Scrapped film: 35429 (8 seconds)
Scrapped film: 49429 (8 seconds)
Scrapped film: 72595 (6 seconds)
Scrapped film: 61024 (6 seconds)
Scrapped film: 41776 (5 seconds)
Scrapped film: 30470 (6 seconds)
Scrapped film: 68205 (6 seconds)
Scrapped film: 22670 (7 seconds)
Scrapped film: 72596 (6 seconds)
Scrapped film: 35431 (6 seconds)
Scrapped film: 49431 (7 seconds)
Scrapped film: 41786 (5 seconds)
Scrapped film: 61028 (6 seconds)
Scrapped film: 30483 (5 seconds)
Scrapped film: 68206 (6 seconds)
Scrapped film: 72601 (6 seconds)
Scrapped film: 41786 (5 seconds)
Scrapped film: 35432 (6 seconds)
Scrapped film: 22676 (7 seconds)
Scrapped film: 61029 (6 seconds)
Scrapped film: 49432 (7 seconds)
Scrapped film: 30491 (5 seconds)
Scrapped film: 41790 (5 seconds)
Scrapped film: 72608 (6 seconds)
Scrapped film: 68207 (6 seconds)
Scrapped film: 35438 (6 seconds)
Scrapped film: 61037 (6 seconds)
Scrapped film: 22681 (7 seconds)
Scrapped film: 30517 (5 seconds)
Scrapped film: 49434 (6 seconds)
Scrapped film: 41792 (5 seconds)
Scrapped film: 68213 (6 seconds)
Scrapped film: 72610 (6 seconds)
Scrapped film: 35440 (6 seconds)
Scrapped film: 61038 (6 seconds)
Scrapped film: 30522 (6 seconds)
Scrapped film: 49450 (6 seconds)
Scrapped film: 22682 (7 seconds)
Scrapped film: 41796 (5 seconds)
Scrapped film: 72613 (5 seconds)
Scrapped film: 68230 (5 seconds)
Scrapped film: 35440 (6 seconds)
Scrapped film: 61042 (5 seconds)
Scrapped film: 49452 (6 seconds)
Scrapped film: 30523 (7 seconds)
Scrapped film: 41831 (5 seconds)
Scrapped film: 72618 (5 seconds)
Scrapped film: 22689 (7 seconds)
Scrapped film: 68231 (6 seconds)
Scrapped film: 61042 (5 seconds)
Scrapped film: 35446 (6 seconds)
Scrapped film: 41838 (5 seconds)
Scrapped film: 49453 (6 seconds)
Scrapped film: 30554 (6 seconds)
Scrapped film: 72637 (5 seconds)
Scrapped film: 22694 (7 seconds)
Scrapped film: 61052 (6 seconds)
Scrapped film: 68233 (7 seconds)
Scrapped film: 35447 (6 seconds)
Scrapped film: 41841 (5 seconds)
Scrapped film: 72648 (5 seconds)
Scrapped film: 30631 (6 seconds)
Scrapped film: 49456 (7 seconds)
Scrapped film: 22696 (6 seconds)
Scrapped film: 68235 (5 seconds)
Scrapped film: 61059 (5 seconds)
Scrapped film: 35460 (6 seconds)
Scrapped film: 41842 (5 seconds)
Scrapped film: 72651 (5 seconds)
Scrapped film: 30637 (6 seconds)
Scrapped film: 49470 (7 seconds)
Scrapped film: 68240 (5 seconds)
Scrapped film: 61065 (6 seconds)
Scrapped film: 35521 (5 seconds)
Scrapped film: 22698 (7 seconds)
Scrapped film: 72653 (5 seconds)
Scrapped film: 41847 (6 seconds)
Scrapped film: 30642 (5 seconds)
Scrapped film: 68245 (5 seconds)
Scrapped film: 49471 (6 seconds)
Scrapped film: 35530 (5 seconds)
Scrapped film: 61067 (6 seconds)
Scrapped film: 72656 (6 seconds)
Scrapped film: 41855 (5 seconds)
Scrapped film: 22700 (7 seconds)
Scrapped film: 68246 (5 seconds)
Scrapped film: 30643 (6 seconds)
Scrapped film: 35537 (6 seconds)
Scrapped film: 49472 (6 seconds)
Scrapped film: 41858 (5 seconds)
Scrapped film: 61070 (6 seconds)
Scrapped film: 72665 (5 seconds)
Scrapped film: 22718 (6 seconds)
Scrapped film: 68248 (5 seconds)
Scrapped film: 30657 (7 seconds)
Scrapped film: 72666 (5 seconds)
Scrapped film: 35552 (6 seconds)
Scrapped film: 61074 (6 seconds)
Scrapped film: 49474 (6 seconds)
Scrapped film: 68257 (5 seconds)
Scrapped film: 41859 (7 seconds)
Scrapped film: 22725 (6 seconds)
Scrapped film: 30676 (6 seconds)
Scrapped film: 61075 (5 seconds)
Scrapped film: 72684 (5 seconds)
Scrapped film: 35553 (6 seconds)
Scrapped film: 49475 (6 seconds)
Scrapped film: 68264 (6 seconds)
Scrapped film: 22735 (6 seconds)
Scrapped film: 41866 (7 seconds)
Scrapped film: 72685 (5 seconds)
Scrapped film: 61080 (5 seconds)
Scrapped film: 30694 (6 seconds)
Scrapped film: 49490 (6 seconds)
Scrapped film: 35567 (6 seconds)
Scrapped film: 22737 (6 seconds)
Scrapped film: 68272 (7 seconds)
Scrapped film: 41870 (6 seconds)
Scrapped film: 72705 (5 seconds)
Scrapped film: 61081 (6 seconds)
Scrapped film: 49513 (5 seconds)
Scrapped film: 30696 (6 seconds)
Scrapped film: 35575 (7 seconds)
Scrapped film: 22753 (7 seconds)
Scrapped film: 41871 (6 seconds)
Scrapped film: 68273 (7 seconds)
Scrapped film: 72709 (5 seconds)
Scrapped film: 49515 (5 seconds)
Scrapped film: 61089 (7 seconds)
Scrapped film: 30722 (6 seconds)
Scrapped film: 72710 (5 seconds)
Scrapped film: 41882 (5 seconds)
Scrapped film: 35583 (6 seconds)
Scrapped film: 22755 (6 seconds)
Scrapped film: 68275 (7 seconds)
Scrapped film: 49516 (5 seconds)
Scrapped film: 30744 (6 seconds)
Scrapped film: 61093 (7 seconds)
Scrapped film: 72712 (5 seconds)
Scrapped film: 41886 (5 seconds)
Scrapped film: 35605 (6 seconds)
Scrapped film: 22775 (6 seconds)
Scrapped film: 49518 (5 seconds)
Scrapped film: 68276 (6 seconds)
Scrapped film: 72730 (5 seconds)
Scrapped film: 41890 (6 seconds)
Scrapped film: 61094 (7 seconds)
Scrapped film: 30746 (8 seconds)
Scrapped film: 49521 (5 seconds)
Scrapped film: 22778 (6 seconds)
Scrapped film: 35608 (6 seconds)
Scrapped film: 68278 (5 seconds)
Scrapped film: 72732 (6 seconds)
Scrapped film: 41923 (6 seconds)
Scrapped film: 49523 (5 seconds)
Scrapped film: 61098 (7 seconds)
Scrapped film: 22787 (6 seconds)
Scrapped film: 30755 (7 seconds)
Scrapped film: 68280 (6 seconds)
Scrapped film: 35612 (6 seconds)
Scrapped film: 72735 (5 seconds)
Scrapped film: 49531 (5 seconds)
Scrapped film: 41926 (6 seconds)
Scrapped film: 22792 (5 seconds)
Scrapped film: 68281 (6 seconds)
Scrapped film: 35614 (6 seconds)
Scrapped film: 30764 (7 seconds)
Scrapped film: 72737 (5 seconds)
Scrapped film: 61101 (8 seconds)
Scrapped film: 49537 (5 seconds)
Scrapped film: 22802 (5 seconds)
Scrapped film: 41928 (7 seconds)
Scrapped film: 30781 (5 seconds)
Scrapped film: 68284 (6 seconds)
Scrapped film: 35616 (6 seconds)
Scrapped film: 72742 (7 seconds)
Scrapped film: 49539 (5 seconds)
Scrapped film: 61107 (8 seconds)
Scrapped film: 22807 (5 seconds)
Scrapped film: 30808 (5 seconds)
Scrapped film: 68286 (7 seconds)
Scrapped film: 41931 (8 seconds)
Scrapped film: 49552 (5 seconds)
Scrapped film: 35617 (7 seconds)
Scrapped film: 72747 (7 seconds)
Scrapped film: 22827 (6 seconds)
Scrapped film: 30811 (5 seconds)
Scrapped film: 61113 (8 seconds)
Scrapped film: 41944 (6 seconds)
Scrapped film: 68290 (6 seconds)
Scrapped film: 49553 (6 seconds)
Scrapped film: 35648 (8 seconds)
Scrapped film: 22834 (5 seconds)
Scrapped film: 30814 (5 seconds)
Scrapped film: 72750 (7 seconds)
Scrapped film: 41947 (5 seconds)
Scrapped film: 61122 (8 seconds)
Scrapped film: 49569 (6 seconds)
Scrapped film: 30817 (5 seconds)
Scrapped film: 68291 (7 seconds)
Scrapped film: 22835 (6 seconds)
Scrapped film: 35659 (7 seconds)
Scrapped film: 72752 (7 seconds)
Scrapped film: 41954 (5 seconds)
Scrapped film: 61132 (7 seconds)
Scrapped film: 30824 (5 seconds)
Scrapped film: 68292 (5 seconds)
Scrapped film: 49578 (7 seconds)
Scrapped film: 22854 (7 seconds)
Scrapped film: 35664 (7 seconds)
Scrapped film: 41955 (5 seconds)
Scrapped film: 72761 (7 seconds)
Scrapped film: 61135 (5 seconds)
Scrapped film: 68294 (6 seconds)
Scrapped film: 30831 (7 seconds)
Scrapped film: 22873 (6 seconds)
Scrapped film: 41958 (5 seconds)
Scrapped film: 49593 (7 seconds)
Scrapped film: 35665 (7 seconds)
Scrapped film: 72777 (5 seconds)
Scrapped film: 61136 (5 seconds)
Scrapped film: 68304 (8 seconds)
Scrapped film: 41959 (5 seconds)
Scrapped film: 72782 (5 seconds)
Scrapped film: 30848 (8 seconds)
Scrapped film: 49601 (6 seconds)
Scrapped film: 35669 (6 seconds)
Scrapped film: 61138 (5 seconds)
Scrapped film: 22877 (7 seconds)
Scrapped film: 41963 (5 seconds)
Scrapped film: 72783 (5 seconds)
Scrapped film: 61140 (5 seconds)
Scrapped film: 68306 (7 seconds)
Scrapped film: 35675 (7 seconds)
Scrapped film: 30856 (7 seconds)
Scrapped film: 22879 (7 seconds)
Scrapped film: 49607 (8 seconds)
Scrapped film: 41967 (5 seconds)
Scrapped film: 72785 (5 seconds)
Scrapped film: 61157 (5 seconds)
Scrapped film: 35681 (6 seconds)
Scrapped film: 68309 (6 seconds)
Scrapped film: 22882 (6 seconds)
Scrapped film: 30857 (7 seconds)
Scrapped film: 49616 (6 seconds)
Scrapped film: 41968 (6 seconds)
Scrapped film: 72786 (6 seconds)
Scrapped film: 61162 (6 seconds)
Scrapped film: 35689 (6 seconds)
Scrapped film: 68315 (6 seconds)
Scrapped film: 49621 (6 seconds)
Scrapped film: 30865 (6 seconds)
Scrapped film: 22899 (7 seconds)
Scrapped film: 72791 (5 seconds)
Scrapped film: 41994 (7 seconds)
Scrapped film: 61170 (5 seconds)
ERROR scrapping film: 72796 (ref: java.util.InvalidPropertiesFormatException: Invalid filmdb.entities.Film.releaseYear value (out of bounds))
Scrapped film: 35700 (5 seconds)
Scrapped film: 68317 (7 seconds)
Scrapped film: 49634 (6 seconds)
Scrapped film: 30879 (7 seconds)
Scrapped film: 41996 (5 seconds)
Scrapped film: 22905 (7 seconds)
Scrapped film: 61173 (5 seconds)
Scrapped film: 72814 (5 seconds)
Scrapped film: 35703 (7 seconds)
Scrapped film: 68323 (5 seconds)
Scrapped film: 41998 (5 seconds)
Scrapped film: 61176 (5 seconds)
Scrapped film: 30881 (6 seconds)
Scrapped film: 49639 (7 seconds)
Scrapped film: 22913 (7 seconds)
Scrapped film: 72822 (7 seconds)
Scrapped film: 68326 (6 seconds)
Scrapped film: 42004 (5 seconds)
Scrapped film: 35706 (6 seconds)
Scrapped film: 61177 (5 seconds)
Scrapped film: 30888 (6 seconds)
Scrapped film: 49642 (6 seconds)
Scrapped film: 22921 (6 seconds)
Scrapped film: 72824 (7 seconds)
Scrapped film: 42006 (5 seconds)
Scrapped film: 68327 (6 seconds)
Scrapped film: 61180 (5 seconds)
Scrapped film: 35713 (7 seconds)
Scrapped film: 30933 (6 seconds)
Scrapped film: 49646 (7 seconds)
Scrapped film: 22958 (6 seconds)
Scrapped film: 42031 (5 seconds)
Scrapped film: 68332 (5 seconds)
Scrapped film: 61181 (5 seconds)
Scrapped film: 72826 (6 seconds)
Scrapped film: 35726 (7 seconds)
Scrapped film: 30944 (6 seconds)
Scrapped film: 42033 (5 seconds)
Scrapped film: 68334 (5 seconds)
Scrapped film: 61184 (5 seconds)
